lr,step,time,train_loss,train_metric,val_loss,val_metric
0.001000,82-best,4.785205,0.214745,0.214745,0.247008,0.247008
0.001000,83,4.763264,0.260433,0.260433,0.249473,0.249473
0.001000,84,4.782211,0.251509,0.251509,0.249158,0.249158
0.001000,85,4.687466,0.235945,0.235945,0.248327,0.248327
0.001000,86,4.790192,0.250044,0.250044,0.252388,0.252388
0.001000,87,4.734342,0.254331,0.254331,0.247942,0.247942
0.001000,88-best,4.770245,0.241593,0.241593,0.244357,0.244357
0.001000,89-best,4.724367,0.217164,0.217164,0.241407,0.241407
0.001000,90-best,4.849032,0.249362,0.249362,0.236545,0.236545
0.001000,91,4.817120,0.222125,0.222125,0.242293,0.242293
0.001000,92,4.750298,0.257169,0.257169,0.241287,0.241287
0.001000,93-best,4.820113,0.227010,0.227010,0.235566,0.235566
0.001000,94-best,4.781216,0.239870,0.239870,0.232493,0.232493
0.001000,95,4.833077,0.230362,0.230362,0.233083,0.233083
0.001000,96,4.790192,0.223397,0.223397,0.232634,0.232634
0.001000,97-best,4.702426,0.227327,0.227327,0.232128,0.232128
0.001000,98-best,4.813130,0.192770,0.192770,0.232098,0.232098
0.001000,99,4.870976,0.237554,0.237554,0.236117,0.236117
0.001000,100,4.782212,0.218438,0.218438,0.237533,0.237533
0.001000,101,4.808144,0.218848,0.218848,0.239175,0.239175
0.001000,102,4.766255,0.212623,0.212623,0.233703,0.233703
0.001000,103-best,4.775232,0.190311,0.190311,0.230109,0.230109
0.001000,104-best,4.844048,0.236249,0.236249,0.226867,0.226867
0.001000,105,4.736336,0.197782,0.197782,0.228760,0.228760
0.001000,106-best,4.772240,0.216448,0.216448,0.225232,0.225232
0.001000,107-best,4.727359,0.219872,0.219872,0.220293,0.220293
0.001000,108,4.794182,0.220256,0.220256,0.224834,0.224834
0.001000,109,4.830086,0.198894,0.198894,0.221121,0.221121
0.001000,110-best,4.817120,0.230504,0.230504,0.216427,0.216427
0.001000,111,4.757280,0.217519,0.217519,0.222738,0.222738
0.001000,112,4.804154,0.225512,0.225512,0.229521,0.229521
0.001000,113,4.714394,0.180398,0.180398,0.235549,0.235549
0.001000,114,4.822107,0.207236,0.207236,0.223788,0.223788
0.001000,115,4.840058,0.255454,0.255454,0.222376,0.222376
0.001000,116,4.761270,0.181310,0.181310,0.229174,0.229174
0.001000,117,4.827094,0.202853,0.202853,0.223161,0.223161
0.001000,118-best,4.728356,0.199926,0.199926,0.213915,0.213915
0.001000,119,4.819115,0.235647,0.235647,0.215298,0.215298
0.001000,120,4.776228,0.208625,0.208625,0.243285,0.243285
0.001000,121,4.747307,0.232824,0.232824,0.239845,0.239845
0.001000,122,4.808145,0.180572,0.180572,0.229412,0.229412
0.001000,123,4.764260,0.234933,0.234933,0.217420,0.217420
0.001000,124,4.857012,0.221415,0.221415,0.214249,0.214249
0.001000,125-best,4.743317,0.223948,0.223948,0.209038,0.209038
0.001000,126,4.782214,0.179793,0.179793,0.209274,0.209274
0.001000,127,4.842052,0.206483,0.206483,0.213478,0.213478
0.001000,128,4.756282,0.184696,0.184696,0.215044,0.215044
0.001000,129-best,4.756282,0.220166,0.220166,0.207737,0.207737
0.001000,130-best,4.807146,0.200044,0.200044,0.207547,0.207547
0.001000,131,4.844048,0.227269,0.227269,0.208391,0.208391
0.001000,132,4.773237,0.205241,0.205241,0.209630,0.209630
0.001000,133,4.821110,0.215975,0.215975,0.210361,0.210361
0.001000,134,4.770275,0.175028,0.175028,0.214262,0.214262
0.001000,135,4.749301,0.176892,0.176892,0.218173,0.218173
0.001000,136,4.812132,0.222095,0.222095,0.209989,0.209989
0.001000,137-best,4.749300,0.194505,0.194505,0.204328,0.204328
0.001000,138-best,4.753291,0.151049,0.151049,0.204102,0.204102
0.001000,139,4.786204,0.173081,0.173081,0.205710,0.205710
0.001000,140,4.755285,0.184265,0.184265,0.205769,0.205769
0.001000,141,4.771242,0.216126,0.216126,0.204566,0.204566
0.001000,142-best,4.771243,0.176186,0.176186,0.203832,0.203832
